DigikeyPN,Quantity,Designator,Value,PartNumber,Comment,Footprint,Description,LibRef,Library Reference,LoadCapacitance,Model:Footprint,Pins,ScrewSize,VisibleNetName
CRA6S849.9ACT-ND,25,"RR500, RR501, RR502, RR507, RR508",49.9,,RES_ARR_4,CAC-80P319X150-8M,4 element resistor array,RES_ARR_4,RES_ARR_4,,"Chip Array, ConvexS, 8-Leads, Pitch 0.80mm,  Body 3.20x1.50mm, for Vishay CRA06S",8,,
311-49.9CRCT-ND,25,"R110, R500, R501, R502, R602",49.9,,805,RES_0805,Resistor,Res1,Res1,,,2,,
311-54.9KCRCT-ND,10,R207,54.9k,,805,RES_0805,Resistor,Res1,Res1,,,2,,
WSLC-.08CT-ND,5,R200,80m,,1206,RES_1206,Resistor,Res1,Res1,,,2,,
311-100CRCT-ND,25,"R101, R102, R104, R105, R704, R705, R709, R710",100,,805,RES_0805,Resistor,Res1,Res1,,,2,,
311-100KCRCT-ND,25,"R208, R209, R402",100k,,805,RES_0805,Resistor,Res1,Res1,,,2,,
587-3498-1-ND,100,"C104, C105, C106, C107, C108, C109, C110, C111, C112, C116, C117, C118, C119, C120, C121, C122, C123, C124, C204, C302, C303, C400, C402, C500, C501, C502, C503, C504, C505, C506, C507",100n,,402,CAP_0402,Capacitor,Cap,Cap,,,2,,
311-105KCRCT-ND,10,R203,105k,,805,RES_0805,Resistor,Res1,Res1,,,2,,
311-215KCRCT-ND,10,R205,215k,,805,RES_0805,Resistor,Res1,Res1,,,2,,
490-1293-1-ND,10,"C304, C305",220p,,402,CAP_0402,Capacitor,Cap,Cap,,,2,,
311-309KCRCT-ND,10,R404,309k,,805,RES_0805,Resistor,Res1,Res1,,,2,,
311-330CRCT-ND,25,"R304, R305, R306, R307, R406",330,,805,RES_0805,Resistor,Res1,Res1,,,2,,
311-340KCRCT-ND,10,R201,340k,,805,RES_0805,Resistor,Res1,Res1,,,2,,
311-510CRCT-ND,10,R109,510,,805,RES_0805,Resistor,Res1,Res1,,,2,,
CRA6S833CT-ND,10,,DNP,,"0805, 0805, 0805, 0805, 0805, 0805, 0805, 0805, 0805, 0805, 0805, 0805, 0805, 0805, 0805, SJ, 0805, 0805, 0603, 0603, 0805, 0603, 0603, 0805, 0603, 0805, 0603, 0603, 0603, TP_TINY, TP_TINY, TP_TINY","RES_0805, RES_0805, RES_0805, SJ_0805, SJ_0805, SJ_0805, SJ_0805, SJ_0805, SJ_0805, SJ_0805, SJ_0805, SJ_0805, SJ_0805, SJ_0805, SJ_0805, SJ_0805, SJ_0805, SJ_0805, SJ_0603, SJ_0603, SJ_0805, SJ_0603, SJ_0603, SJ_0805, SJ_0603, SJ_0805, SJ_0603, SJ_0603, SJ_0603, TP_TINY, TP_TINY, TP_TINY","Resistor, Resistor, Resistor, Solder jumper, Solder jumper, Solder jumper, Solder jumper, Solder jumper, Solder jumper, Solder jumper, Solder jumper, Solder jumper, Solder jumper, Solder jumper, Solder jumper, Solder jumper, Solder jumper, Solder jumper, Solder jumper, Solder jumper, Solder jumper, Solder jumper, Solder jumper, Solder jumper, Solder jumper, Solder jumper, Solder jumper, Solder jumper, Solder jumper, [NoValue], [NoValue], [NoValue]","Res1, Res1, Res1, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, TP_TINY, TP_TINY, TP_TINY","Res1, Res1, Res1, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, SJ, TP_TINY, TP_TINY, TP_TINY",,"[NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], [NoValue], 0603 net tie, 0603 net tie, [NoValue], 0603 net tie, 0603 net tie, [NoValue], 0603 net tie, [NoValue], 0603 net tie, 0603 net tie, 0603 net tie, 1mm round tiny testpoint, 1mm round tiny testpoint, 1mm round tiny testpoint",,,"[NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], [NoParam], SENSE, GND, CLK"
