Designator,Value,Comment,Footprint,Description,Quantity,LibRef,DigikeyPN,Library Reference,LoadCapacitance,Model:Footprint,PartNumber,Pins,ScrewSize,VisibleNetName
"C205","10u","1206,16V","CAP_1206","Capacitor","1","Cap","1276-1312-1-ND","Cap","","","","2","",""
"C702","10u","1206","CAP_1206","Capacitor","1","Cap","1276-1312-1-ND","Cap","","","","2","",""
"C406","10u","0805","CAP_0805","Capacitor","1","Cap","1276-6455-1-ND","Cap","","","","2","",""
"C601","10u","1206,16V","CAP_1206","Capacitor","1","Cap","1276-1312-1-ND","Cap","","","","2","",""
"L200","15u","","srr1208","Inductor","1","Inductor","SRR1208-150MLCT-ND","Inductor","","","SRR1208-150ML","2","",""
"C301","18p","0402","CAP_0402","Capacitor","1","Cap","490-6203-1-ND","Cap","","","","2","",""
"C300","18p","0402","CAP_0402","Capacitor","1","Cap","490-6203-1-ND","Cap","","","","2","",""
"C103","18p","0402","CAP_0402","Capacitor","1","Cap","490-6203-1-ND","Cap","","","","2","",""
"C102","18p","0402","CAP_0402","Capacitor","1","Cap","490-6203-1-ND","Cap","","","","2","",""
"R206","24.3k","0805","RES_0805","Resistor","1","Res1","311-24.3KCRCT-ND","Res1","","","","2","",""
"R210","25m","1206","RES_1206","Resistor","1","Res1","CSR1206FK25L0CT-ND","Res1","","","","2","",""
"C100","27p","0402","CAP_0402","Capacitor","1","Cap","1276-1153-1-ND","Cap","","","","2","",""
"C101","27p","0402","CAP_0402","Capacitor","1","Cap","1276-1153-1-ND","Cap","","","","2","",""
"R405","33.2k","0805","RES_0805","Resistor","1","Res1","311-33.2KCRCT-ND","Res1","","","","2","",""
"C600","47u","1206,10V","CAP_1206","Capacitor","1","Cap","1276-3063-1-ND","Cap","","","","2","",""
"C405","47u","1206,10V","CAP_1206","Capacitor","1","Cap","1276-3063-1-ND","Cap","","","","2","",""
"C701","47u","1206,10V","CAP_1206","Capacitor","1","Cap","1276-3063-1-ND","Cap","","","","2","",""
"RR508","49.9","RES_ARR_4","CAC-80P319X150-8M","4 element resistor array","1","RES_ARR_4","CRA6S849.9ACT-ND","RES_ARR_4","","Chip Array, ConvexS, 8-Leads, Pitch 0.80mm,  Body 3.20x1.50mm, for Vishay CRA06S","","8","",""
